                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.2688,                0.84915,                 1.0178,                0.12805,                   0.15,                0.11129,                 0.0452,                  2.538,                 4.0201,                 1.9959,              0.0014607,              0.0014607,              0.0014607
                    127,                 1.2275,                0.81783,                0.99362,                0.19991,                    0.2,                0.13288,                0.06462,                 2.6079,                 4.3005,                 2.0459,              0.0014591,              0.0014591,              0.0014591
                    128,                 1.2691,                0.85105,                 1.0214,                0.81626,                0.06667,                 0.0818,                0.04783,                 2.8431,                 4.1405,                 2.0989,              0.0014574,              0.0014574,              0.0014574
                    129,                 1.3113,                0.86551,                 1.0171,                0.10337,                    0.1,                0.03603,                0.01744,                 2.7566,                 4.3903,                 2.2749,              0.0014558,              0.0014558,              0.0014558
                    130,                 1.2819,                0.86866,                 1.0186,                0.07364,                0.16667,                0.02529,                0.00824,                 2.8658,                 4.5531,                 2.0272,              0.0014541,              0.0014541,              0.0014541
                    131,                 1.2601,                0.81316,                 1.0031,                0.13137,                   0.25,                0.09601,                 0.0511,                  2.528,                 4.4636,                 1.8745,              0.0014525,              0.0014525,              0.0014525
                    132,                   1.26,                0.83635,                 1.0183,                0.18039,                    0.2,                0.07035,                0.03207,                   2.43,                 4.2616,                 1.9133,              0.0014508,              0.0014508,              0.0014508
                    133,                 1.2584,                0.81557,                0.99935,                0.11758,                0.06667,                0.05179,                0.02236,                 2.8969,                 5.1933,                 2.1697,              0.0014492,              0.0014492,              0.0014492
                    134,                 1.2368,                0.81231,                0.99489,                0.24782,                0.06579,                0.04199,                0.01158,                 3.0396,                 4.9045,                 2.0435,              0.0014475,              0.0014475,              0.0014475
                    135,                 1.2177,                0.77987,                0.97091,                 0.3041,                0.06667,                0.07669,                0.03683,                 2.9219,                  4.572,                  2.102,              0.0014459,              0.0014459,              0.0014459
                    136,                 1.2109,                0.77031,                0.97914,                0.12999,                0.06667,                0.05577,                0.01667,                 2.9782,                 4.7483,                 2.2594,              0.0014442,              0.0014442,              0.0014442
                    137,                 1.1881,                0.75832,                0.99048,                0.69757,                0.06667,                0.06806,                0.02875,                 2.6696,                 4.7818,                  2.053,              0.0014426,              0.0014426,              0.0014426
                    138,                 1.2179,                0.81409,                 1.0144,                0.43914,                    0.1,                0.12606,                0.03978,                 2.9647,                 4.1013,                 2.1228,              0.0014409,              0.0014409,              0.0014409
                    139,                 1.2578,                0.79044,                0.99969,                 0.1224,                    0.1,                0.06762,                0.02201,                 2.8594,                 4.3432,                 1.9953,              0.0014393,              0.0014393,              0.0014393
